model_name,avg_expected_loss,avg_bias,avg_var
RF-RF,0.0687398374,0.0569105691,0.0319918699
RF-LR,0.0933333333,0.0894308943,0.0310569106
RF-SVM-Sig,0.1202439024,0.1300813008,0.0274796748
RF-PPI-NB,0.1241056911,0.1219512195,0.0257317073
RF-NB,0.1378861789,0.1219512195,0.0704065041
RF-SVM-L,0.1407723577,0.1382113821,0.0069512195
RF-SVM-RB,0.1419512195,0.1382113821,0.0290243902
RF-PPI-LR,0.1423170732,0.1463414634,0.0149186992
RF-PPI-SVM-L,0.1463414634,0.1463414634,0.0295121951
RF-PPI-SVM-Sig,0.1951219512,0.2032520325,0.01
