,t_stat,p_value
C7,-8.192166530640645,3.559260128754837e-15
KRT17,2.791051979821442,0.006271340244464598
CLEC2A,3.446913239340358,0.000800436680855439
S100A7A,3.3760172391913215,0.00104156706676213
KRTDAP,3.732289698547598,0.00031190844120228115
WFDC5,3.93988879422333,0.00014916212674476358
KRT6B,2.831035638824024,0.005589511141570255
S100A7,4.033631200183121,0.00010619439583557814
KRT14,2.740537882870346,0.007242762391469175
PVRL4,4.783870389798004,5.710648275110237e-06
SERPINB4,3.5766295436240387,0.0005337281012001675
IL20RB,5.082495420188562,1.676761766547441e-06
AFAP1-AS1,1.2533223376706966,0.21294664242194358
FKBP1B,2.726445575070863,0.007164794639353703
ZSWIM7,5.0773631723815775,1.3211225181155733e-06
PRG2,3.93431333062426,0.00014685203585202311
PAX1,3.323195962184,0.0009909320640216766
DMBT1,-0.07584163773207249,0.9395869409363831
ZNF653,2.864726225657587,0.004810206471781278
GRIK5,-1.8619841258181549,0.0636135396010796
MMP3,4.24965720413506,4.599028020460052e-05
ZNF593,3.4385690615032805,0.0007827368532370494
VDAC1,3.9325545980669867,0.00012985314751436238
ADAMTSL3,-7.775747961091543,6.037626869843409e-14
RGS4,-3.92332323186295,0.00010130139985835426
MRPL44,3.4044653601018307,0.0008664565461079776
LYSMD2,-2.825315552896422,0.005366156019672678
TDRKH,-5.235193938054471,4.007290287179681e-07
CSPG4,-1.2900409356827154,0.1977064455359627
PLA2G2F,3.8548144011272565,0.0001979990632632751
G6PC3,4.576976925309898,1.0532189653460313e-05
DOCK11,-10.037615430551977,2.2663171397740654e-21
NUP214,1.2892421832050742,0.1989231942719296
IGF1R,-2.2869067628981226,0.023005862276748546
TSPAN14,-2.2961911347325277,0.02290263259037333
DLST,1.2150695746474214,0.2258823558536512
RARRES2,-3.16390579258389,0.00166473530360399
LPPR4,0.39824718347110316,0.6909264560368704
GSR,-2.765585914111451,0.006398770435365707
FCER1A,2.1584429557471574,0.03253938255436159
PSMD9,6.206645937570092,5.796064945210335e-09
PDK4,-3.0720316761135904,0.0024463612075462994
PRKRIP1,4.2988428377828365,3.1682904996736146e-05
HMG20B,4.844839109848951,3.2306204193433906e-06
TAF5L,-2.4213068544589658,0.0166257452795409
RAX,2.865586487964628,0.004952784960872836
FAM98C,5.085123872321582,1.2994594270099434e-06
SLC40A1,-9.123765585825096,2.223337587188592e-18
COQ4,4.656192517428716,8.010976092558617e-06
FBXW10,-0.2810200331101033,0.7788431897756124
PSTPIP2,-2.675986285955777,0.007914213493840284
SSNA1,4.428654528668489,1.9825727910890937e-05
MRRF,3.139428339671874,0.0020286682901502896
PITHD1,3.951863150862577,9.90053018185206e-05
WRAP73,0.6787595569764746,0.4981974845969551
