,[RF] Logistic Regression,[RF] Support Vector Machines (Linear Kernel),[RF] Support Vector Machines (Radial Basis Kernel),[RF] Support Vector Machines (Sigmoid Kernel),[RF] Gaussian Naive Bayes,[RF] Random Forest,[PPI] Logistic Regression,[PPI] Support Vector Machines (Linear Kernel),[PPI] Support Vector Machines (Sigmoid Kernel),[PPI] Gaussian Naive Bayes,Ensemble Model
sample_type_PT,0.5441176470588235,0.3382352941176471,0.5441176470588235,0.45588235294117646,0.36764705882352944,0.7941176470588235,0.36764705882352944,0.3382352941176471,0.10294117647058823,0.4117647058823529,0.5147058823529411
sample_type_M,0.9954128440366973,0.9954128440366973,0.981651376146789,0.908256880733945,0.9678899082568807,0.9724770642201835,0.9908256880733946,0.9954128440366973,1.0,0.981651376146789,0.9954128440366973
age_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
age_20,0.896551724137931,0.896551724137931,0.9310344827586207,0.896551724137931,0.896551724137931,0.9655172413793104,0.896551724137931,0.896551724137931,0.896551724137931,0.9310344827586207,0.896551724137931
age_40,0.908256880733945,0.8715596330275229,0.8990825688073395,0.8165137614678899,0.8440366972477065,0.944954128440367,0.8715596330275229,0.8715596330275229,0.8165137614678899,0.8715596330275229,0.908256880733945
age_60,0.8790322580645161,0.8225806451612904,0.8709677419354839,0.7741935483870968,0.8225806451612904,0.9274193548387096,0.8306451612903226,0.8225806451612904,0.75,0.8387096774193549,0.8709677419354839
age_80,0.8095238095238095,0.6666666666666666,0.7142857142857143,0.7142857142857143,0.6190476190476191,0.8095238095238095,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6190476190476191,0.7619047619047619
gender_male,0.8950276243093923,0.856353591160221,0.8784530386740331,0.7900552486187845,0.8342541436464088,0.9226519337016574,0.856353591160221,0.856353591160221,0.8011049723756906,0.856353591160221,0.8895027624309392
gender_female,0.8761904761904762,0.8095238095238095,0.8761904761904762,0.819047619047619,0.8095238095238095,0.9428571428571428,0.819047619047619,0.8095238095238095,0.7619047619047619,0.8285714285714286,0.8666666666666667
bmi_normal,0.8695652173913043,0.8152173913043478,0.8913043478260869,0.782608695652174,0.8152173913043478,0.9347826086956522,0.8260869565217391,0.8152173913043478,0.7717391304347826,0.8260869565217391,0.8804347826086957
bmi_overweight,0.9345794392523364,0.8504672897196262,0.897196261682243,0.8598130841121495,0.822429906542056,0.9252336448598131,0.8411214953271028,0.8504672897196262,0.794392523364486,0.8411214953271028,0.9065420560747663
bmi_obese,0.8488372093023255,0.8488372093023255,0.8372093023255814,0.7441860465116279,0.8372093023255814,0.9302325581395349,0.8604651162790697,0.8488372093023255,0.7906976744186046,0.872093023255814,0.8488372093023255
race_white,0.8892988929889298,0.8376383763837638,0.8782287822878229,0.8044280442804428,0.8228782287822878,0.9298892988929889,0.8450184501845018,0.8376383763837638,0.7933579335793358,0.8450184501845018,0.8819188191881919
race_asian,0.8,0.8,0.8,0.8,0.8,0.9,0.7,0.8,0.5,0.8,0.8
race_not_reported,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ethnicity_hispanic,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.3333333333333333,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666
ethnicity_not_hispanic,0.8929889298892989,0.8487084870848709,0.8782287822878229,0.8191881918819188,0.8339483394833949,0.9298892988929889,0.8487084870848709,0.8487084870848709,0.7933579335793358,0.8523985239852399,0.8856088560885609
ethnicity_not_reported,0.8888888888888888,0.6666666666666666,0.8888888888888888,0.5555555555555556,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8888888888888888
