,normal,median,mean
TSHR,0.09812455136895216,-0.15857663286430418,-0.013439877693556859
ZSWIM7,0.45386519991931473,-0.04377463956416773,0.09986659304378596
ADAMTSL3,0.04580335312868542,-0.2971081706209718,-0.04812268058110526
AFAP1-AS1,-0.051436777444362564,-0.11000060102938555,0.026989949364571376
GRIK5,0.11461751198923063,-0.2000569604320577,-0.03890968749022642
KRT17,-0.13207762995999836,-0.13197508059299523,0.05964958145013723
PLA2G2F,-0.1858538993690569,-0.1858538993690569,0.055093756883969947
C7,1.2702194138694263,-0.367975088604312,-0.08880344748918795
SERPINB4,-0.1686610884956366,-0.16841355150263318,0.06906955617033303
RPN2,-0.5743769241275339,-0.1741486532745708,0.018994998166394952
PRG2,-0.49301197801103497,-0.2951681498957105,0.027665533549770305
TDRKH,0.6371548206586846,-0.15422078442818854,-0.01466092591661862
FKBP1B,-0.272172225367056,-0.2952624698634201,0.0171192115595507
VDAC1,-0.09875824389541564,-0.2585137425074566,-0.021479929536370818
KRT14,-0.1290250564904146,-0.12896522689460377,0.05539483321108453
GSR,0.015079791607066392,-0.13757006738868818,-0.0562526541625933
S100A7A,-0.15252142723783396,-0.1526977432116388,0.06884833047704338
MMP3,-0.3006961487207279,-0.2812550626408143,0.059467462250861455
CLEC2A,-0.20765807173482984,-0.20765807173482984,0.07057078447838634
NKX6-1,-0.5641677444269197,-0.4536038505710222,-0.05534762507133418
LYSMD2,2.3933677822987267,-0.15180414683236715,0.022804611215480077
PTF1A,-0.06893345760655632,-0.06893345760655632,-0.054481001660132464
MRRF,0.16031628503620268,-0.08440518932738438,0.014688919762506757
IGF1R,-0.8065378749749423,-0.2583240071394654,-0.022587958838971457
MRPL44,0.392855310669847,-0.17931835061163023,0.010212249319868534
KRT6B,-0.1327309536849358,-0.13270640755368465,0.057272426381984716
KRTDAP,-0.17833229538803272,-0.17833229538803272,0.06856196614047046
PC,0.029367703033844804,-0.2296548597931919,-0.01974636596968683
IL20RB,-0.25829664987192635,-0.23682204536513837,0.08264416694216467
LMX1B,-0.4065922826317308,-0.37730877757304127,0.013923190361921339
RGS4,-0.29378852056698745,-0.2887301279615016,-0.027149604428448403
PVRL4,-0.26193927841211967,-0.24349418955645202,0.07800252733775138
DMBT1,-0.07669257487452913,-0.07652537424029233,-0.04048445859897963
PAX1,-0.24929588265269767,-0.22361605730594183,0.030894900736505387
S100A7,-0.18142280247968945,-0.1814207971179716,0.08403019377689094
PTS,0.4797958798059719,-0.20760261180243703,-0.013000692268388127
WFDC5,-0.18672069329772456,-0.18672069329772456,0.07534264942333276
CSPG4,-0.09136766821116223,-0.09306568522728723,0.03686024222571483
GNG2,0.28109691973386103,-0.19778215402823532,-0.04866809149165309
ZNF593,-0.6008597119839215,-0.24699984407142858,0.017878248374320702
RPS28,0.3308364761313768,-0.22492282221704157,0.02879660049185196
RPE65,-0.23843165074268363,-0.2408838509772274,-0.05959301286724212
ZNF653,-0.9049589312509254,-0.20755026754859374,0.03353153272414684
