,betweenness_centrality
PC,0.08863636363636364
RPN2,0.06363636363636363
TSHR,0.04902597402597403
GSR,0.03961038961038961
RPS28,0.03701298701298701
GRIK5,0.018506493506493506
GNG2,0.012987012987012988
C7,0.012987012987012988
S100A7,0.01038961038961039
SERPINB4,0.007792207792207792
IGF1R,0.006168831168831169
KRT14,0.006168831168831169
NKX6-1,0.005194805194805195
MRRF,0.005194805194805195
RPE65,0.004545454545454545
LMX1B,0.003246753246753247
PAX1,0.003246753246753247
PTF1A,0.003246753246753247
PTS,0.0025974025974025974
KRT6B,0.0016233766233766235
CASK,0.0012987012987012987
FBXW10,0.0006493506493506494
MMP3,0.0
PGA3,0.0
PHGDH,0.0
AMY1A,0.0
RBPJL,0.0
S100A7A,0.0
SMARCAL1,0.0
COX6A2,0.0
ZNF593,0.0
ZBTB17,0.0
GTF2I,0.0
LAMA1,0.0
SPSB3,0.0
PTGER1,0.0
PDK4,0.0
PARN,0.0
CCRN4L,0.0
KRTDAP,0.0
KRT17,0.0
ALAD,0.0
DLST,0.0
TCF15,0.0
PITHD1,0.0
WRAP73,0.0
SNAP23,0.0
TSPAN14,0.0
MRPL44,0.0
RPL23L,0.0
RDH12,0.0
SCN4A,0.0
VDAC1,0.0
NUDT7,0.0
DOCK11,0.0
GTF2H2C,0.0
CUL7,0.0
